alias am_lat am_lat_std am_lon am_lon_std am_ele am_ele_std network stacode h_dist v_dist level lat lon ele elg
A0001 43.620700 0.000000 12.118200 0.000000 0.475 0.000 MAC AB1 0.0000 0.0000 0 43.620700 12.118200 0.475 0.466
A0002 44.696000 0.000000 8.063000 0.000000 0.720 0.000 ING AB9 0.0000 0.0000 0 44.696000 8.063000 0.720 0.198
A0003 40.500800 0.000000 15.760200 0.000000 1.542 0.000 UNKNOWN ABRE 0.0000 0.0000 0 40.500800 15.760200 1.542 1.506
A0003 40.500800 0.000000 15.760200 0.000000 1.542 0.000 ING ABRE 0.0000 0.0000 1 40.500800 15.760200 1.542 1.506
A0003 40.500800 0.000000 15.760200 0.000000 1.542 0.000 AAG ABRE 0.0000 0.0000 1 40.500800 15.760200 1.542 1.506
A0004 46.728500 0.000000 11.320500 0.000000 1.801 0.000 ING ABSI 0.0000 0.0000 0 46.728500 11.320500 1.801 1.794
A0004 46.728500 0.000000 11.320500 0.000000 1.801 0.000 RSF ABSI 0.0000 0.0000 1 46.728500 11.320500 1.801 1.794
A0004 46.728500 0.000000 11.320500 0.000000 1.801 0.000 SI ABSI 0.0000 0.0000 1 46.728500 11.320500 1.801 NULL
A0005 46.747400 0.000000 12.512300 0.000000 1.041 0.000 RSF ABTA 0.0000 0.0000 0 46.747400 12.512300 1.041 1.153
A0006 42.177575 0.000820 13.718625 0.000217 0.460 0.231 RSA ACC1 0.0000 0.0000 0 42.176200 13.718500 0.600 0.594
A0006 42.177575 0.000820 13.718625 0.000217 0.460 0.231 ABR ACC2 0.2222 0.0100 1 42.178200 13.718500 0.590 0.595
A0006 42.177575 0.000820 13.718625 0.000217 0.460 0.231 RSA ACC2 0.2222 0.0100 1 42.178200 13.718500 0.590 0.595
A0006 42.177575 0.000820 13.718625 0.000217 0.460 0.231 ABR ACCI 0.1717 0.5410 1 42.177700 13.719000 0.059 0.601
A0007 40.786700 0.000000 15.942700 0.000000 0.690 0.000 ING ACER 0.0000 0.0000 0 40.786700 15.942700 0.690 NULL
A0007 40.786700 0.000000 15.942700 0.000000 0.690 0.000 IV ACER 0.0000 0.0000 1 40.786700 15.942700 0.690 NULL
A0008 39.350800 0.000000 16.203000 0.000000 0.300 0.000 CAL ACI 0.0000 0.0000 0 39.350800 16.203000 0.300 0.306
A0008 39.350800 0.000000 16.203000 0.000000 0.300 0.000 ING ACI 0.0000 0.0000 1 39.350800 16.203000 0.300 0.306
A0009 38.533000 0.000000 14.355000 0.000000 0.145 0.000 CAT ACL 0.0000 0.0000 0 38.533000 14.355000 0.145 0.119
A0009 38.533000 0.000000 14.355000 0.000000 0.145 0.000 CAT ACLV 0.0000 0.0000 1 38.533000 14.355000 0.145 0.119
A0009 38.533000 0.000000 14.355000 0.000000 0.145 0.000 CAT IACL 0.0000 0.0000 1 38.533000 14.355000 0.145 0.119
